Country Code,CAN,CHE,DEU,GBR,JPN,USA
2005,90.53859035,95.47801732,105.2177382,125.4285529,99.45027649,110.8409361
2006,95.53386274,92.89594656,104.2544409,126.176567,90.03597812,109.9241831
2007,98.59538718,89.04258803,105.7705066,128.2699333,82.47122945,104.893475
2008,95.98901165,92.52714344,105.8862991,111.7694009,88.62634614,100.4501521
2009,91.57572989,96.0875899,106.4645647,100.3068527,99.53842538,104.6991641
2010,100,100,100,100,100,100
2011,101.5641737,109.472695,98.89880946,99.8307949,101.1394186,95.01148423
2012,101.0765941,105.3437508,95.2404504,103.4032048,99.88966404,97.3752337
2013,97.47912781,103.6042081,97.57743045,102.0551599,79.64441015,97.53706626
2014,91.48955,104.2514813,98.239393,108.7125826,74.59122875,99.17736626
2015,83.12919642,110.4891863,92.52147309,113.7455842,69.41671194,109.8767905
2016,81.52624899,108.1325325,93.99963284,102.3721281,78.84558856,114.3489679
2017,82.74804379,106.003365,94.79127721,97.0813553,75.03359368,114.0745183
2018,82.29660211,103.06787,97.00700984,98.8426415,74.37545135,112.9868264
2019,81.47867395,104.1107143,95.36876358,98.34651352,76.47734877,116.1210224